사용일자,호선명,지하철역,승차총승객수,하차총승객수
202001,경강선,경기광주,38254,36422
202001,경강선,곤지암,14330,13353
202001,경강선,부발,12192,12447
202001,경강선,삼동,10045,8910
202001,경강선,세종대왕릉,2561,2354
202001,경강선,신둔도예촌,7810,7300
202001,경강선,여주,17520,15652
202001,경강선,이매,6918,4843
202001,경강선,이천,20782,21498
202001,경강선,초월,15063,13873
202001,경강선,판교,19702,19233
202002,경강선,경기광주,33941,32424
202002,경강선,곤지암,11254,11319
202002,경강선,부발,10809,11688
202002,경강선,삼동,9526,8502
202002,경강선,세종대왕릉,1840,1809
202002,경강선,신둔도예촌,6332,6139
202002,경강선,여주,12544,12338
202002,경강선,이매,5720,4159
202002,경강선,이천,15876,17270
202002,경강선,초월,13139,12521
202002,경강선,판교,18106,17737
202003,경강선,경기광주,21915,21239
202003,경강선,곤지암,7241,8414
202003,경강선,부발,7826,9694
202003,경강선,삼동,6498,6110
202003,경강선,세종대왕릉,1412,1375
202003,경강선,신둔도예촌,4382,4283
202003,경강선,여주,9258,9401
202003,경강선,이매,3621,2571
202003,경강선,이천,10654,11603
202003,경강선,초월,9068,8789
202003,경강선,판교,13316,12668
202004,경강선,경기광주,25220,24350
202004,경강선,곤지암,8881,9939
202004,경강선,부발,8970,10577
202004,경강선,삼동,7165,6776
202004,경강선,세종대왕릉,1705,1698
202004,경강선,신둔도예촌,5111,4972
202004,경강선,여주,11292,11714
202004,경강선,이매,4077,2990
202004,경강선,이천,12574,13692
202004,경강선,초월,10437,10146
202004,경강선,판교,14021,13250
202005,경강선,경기광주,36717,35385
202005,경강선,곤지암,13120,14679
202005,경강선,부발,12144,14376
202005,경강선,삼동,10328,9609
202005,경강선,세종대왕릉,2529,2499
202005,경강선,신둔도예촌,7377,7177
202005,경강선,여주,16743,17388
202005,경강선,이매,6495,4432
202005,경강선,이천,18471,20275
202005,경강선,초월,15041,14568
202005,경강선,판교,19605,18629
202006,경강선,경기광주,31174,30005
202006,경강선,곤지암,11209,12693
202006,경강선,부발,10182,12116
202006,경강선,삼동,8571,7962
202006,경강선,세종대왕릉,2055,2114
202006,경강선,신둔도예촌,6010,6017
202006,경강선,여주,14018,15239
202006,경강선,이매,5320,3939
202006,경강선,이천,14791,16230
202006,경강선,초월,12494,11965
202006,경강선,판교,17083,16004
202007,경강선,경기광주,32867,31380
202007,경강선,곤지암,11602,12707
202007,경강선,부발,10872,12766
202007,경강선,삼동,9094,8497
202007,경강선,세종대왕릉,2072,2081
202007,경강선,신둔도예촌,6170,5998
202007,경강선,여주,14111,15279
202007,경강선,이매,5363,3808
202007,경강선,이천,15607,16916
202007,경강선,초월,13182,12349
202007,경강선,판교,17547,16715
202008,경강선,경기광주,32066,30804
202008,경강선,곤지암,11347,12337
202008,경강선,부발,10615,11357
202008,경강선,삼동,8998,8321
202008,경강선,세종대왕릉,1852,1896
202008,경강선,신둔도예촌,6273,7444
202008,경강선,여주,13182,13573
202008,경강선,이매,5028,3896
202008,경강선,이천,15086,16271
202008,경강선,초월,13020,12490
202008,경강선,판교,17973,17281
202009,경강선,경기광주,25498,24592
202009,경강선,곤지암,9439,10947
202009,경강선,부발,9013,10302
202009,경강선,삼동,7297,6991
202009,경강선,세종대왕릉,1726,1766
202009,경강선,신둔도예촌,4905,4798
202009,경강선,여주,11611,12019
202009,경강선,이매,4251,3212
202009,경강선,이천,12394,13477
202009,경강선,초월,11136,10516
202009,경강선,판교,14643,13745
202010,경강선,경기광주,36090,34201
202010,경강선,곤지암,14460,15992
202010,경강선,부발,12670,14385
202010,경강선,삼동,9999,9403
202010,경강선,세종대왕릉,2596,2735
202010,경강선,신둔도예촌,7685,7280
202010,경강선,여주,18537,18420
202010,경강선,이매,6124,4518
202010,경강선,이천,18837,20296
202010,경강선,초월,15959,14923
202010,경강선,판교,19502,18723
202011,경강선,경기광주,34338,32967
202011,경강선,곤지암,14129,15379
202011,경강선,부발,12345,14661
202011,경강선,삼동,9727,9375
202011,경강선,세종대왕릉,2192,2342
202011,경강선,신둔도예촌,7466,7491
202011,경강선,여주,15985,17655
202011,경강선,이매,5778,4160
202011,경강선,이천,17798,19833
202011,경강선,초월,15031,14141
202011,경강선,판교,19630,18021
202012,경강선,경기광주,21362,21275
202012,경강선,곤지암,8091,8634
202012,경강선,부발,7478,8714
202012,경강선,삼동,6369,6220
202012,경강선,세종대왕릉,1152,1190
202012,경강선,신둔도예촌,4301,4170
202012,경강선,여주,8819,8722
202012,경강선,이매,3557,2494
202012,경강선,이천,10575,11746
202012,경강선,초월,9138,9181
202012,경강선,판교,13430,12447
