사용월,호선명,지하철역,승차총승객수,하차총승객수,총 승차인원,총 하차인원
202201,수인분당선,가천대,2542,2988,2542,2988
202201,수인분당선,강남구청,2024,2355,2024,2355
202201,수인분당선,개포동,1114,1121,1114,1121
202201,수인분당선,고색,1544,1512,1544,1512
202201,수인분당선,구룡,468,542,468,542
202201,수인분당선,구성,1805,1908,1805,1908
202201,수인분당선,기흥,3933,3873,3933,3873
202201,수인분당선,남동인더스파크,441,362,441,362
202201,수인분당선,달월,38,55,38,55
202201,수인분당선,대모산입구,1430,1409,1430,1409
202201,수인분당선,도곡,1858,1799,1858,1799
202201,수인분당선,망포,5250,5034,5250,5034
202201,수인분당선,매교,1075,1049,1075,1049
202201,수인분당선,매탄권선,2034,2085,2034,2085
202201,수인분당선,모란,8977,9270,8977,9270
202201,수인분당선,미금,5774,6011,5774,6011
202201,수인분당선,보정,833,801,833,801
202201,수인분당선,복정,1,0,1,0
202201,수인분당선,사리,2162,1974,2162,1974
202201,수인분당선,상갈,2335,2371,2335,2371
202201,수인분당선,서울숲,3164,3292,3164,3292
202201,수인분당선,서현,11052,10765,11052,10765
202201,수인분당선,선릉,1980,2837,1980,2837
202201,수인분당선,선정릉,1210,1218,1210,1218
202201,수인분당선,소래포구,3911,3837,3911,3837
202201,수인분당선,송도,1354,1324,1354,1324
202201,수인분당선,수내,3887,3641,3887,3641
202201,수인분당선,수서,5513,5557,5513,5557
202201,수인분당선,수원,4789,4007,4789,4007
202201,수인분당선,수원시청,6412,6209,6412,6209
202201,수인분당선,숭의,1636,1500,1636,1500
202201,수인분당선,신갈,1426,1522,1426,1522
202201,수인분당선,신포,1010,992,1010,992
202201,수인분당선,압구정로데오,5891,6496,5891,6496
202201,수인분당선,야목,152,122,152,122
202201,수인분당선,야탑,9563,10027,9563,10027
202201,수인분당선,어천,427,416,427,416
202201,수인분당선,연수,2297,2372,2297,2372
202201,수인분당선,영통,4036,3958,4036,3958
202201,수인분당선,오리,4144,3475,4144,3475
202201,수인분당선,오목천,1239,1112,1239,1112
202201,수인분당선,원인재,2188,2402,2188,2402
202201,수인분당선,월곶,1348,1284,1348,1284
202201,수인분당선,이매,2019,2134,2019,2134
202201,수인분당선,인천,1172,1569,1172,1569
202201,수인분당선,인천논현,2600,2694,2600,2694
202201,수인분당선,인하대,2640,2546,2640,2546
202201,수인분당선,정자,5621,5722,5621,5722
202201,수인분당선,죽전,5099,5796,5099,5796
202201,수인분당선,청명,1364,1469,1364,1469
202201,수인분당선,태평,6305,5972,6305,5972
202201,수인분당선,한티,5769,5517,5769,5517
202201,수인분당선,호구포,1548,1489,1548,1489
202201,수인분당선,가천대,2683,3491,2683,3491
202201,수인분당선,강남구청,2477,2897,2477,2897
202201,수인분당선,개포동,1563,1573,1563,1573
202201,수인분당선,고색,1479,1583,1479,1583
202201,수인분당선,구룡,593,726,593,726
